seniority,median,mean,count
All Levels,146300.0,146300.0,1
Contractor,39520.0,39520.0,1
Director,190000.0,190000.0,1
Executive,,,0
Intern,50440.0,49855.0,4
Junior,67918.0,68108.66666666667,12
Junior/Senior,,,0
Lead,170000.0,168790.0,6
Manager,140000.0,145629.06666666668,3
Mid,110000.0,108359.75918367348,49
Not Specified,90350.0,101120.0,12
Open Rank,,,0
Principal,162778.175,162778.175,2
Senior,133158.0,143050.41836734695,49
Staff,160000.0,153333.33333333334,3
Supervisor,94350.0,94350.0,1
Vp,,,0
